"date","Infection Events","Avg Temp (˚F) for wet hours","Leaf Wetness (hrs)","Hrs > 90% RH","Rain Amount (in)"
"01/01/2021","no","28","13","8","0"
"01/02/2021","no","34","16","17","0.55"
"01/03/2021","no","28","12","19","0.02"
"01/04/2021","no","31","19","18","0.12"
"01/05/2021","no","31","5","6","0.01"
"01/06/2021","no","32","2","1","0"
"01/07/2021","no","-","0","0","0"
"01/08/2021","no","23","1","0","0"
"01/09/2021","no","-","0","0","0"
"01/10/2021","no","25","1","0","0"
"01/11/2021","no","21","11","5","0"
"01/12/2021","no","24","7","7","0"
"01/13/2021","no","27","7","5","0"
"01/14/2021","no","34","15","16","0.09"
"01/15/2021","no","33","11","11","0"
"01/16/2021","no","38","19","19","1.43"
"01/17/2021","no","-","0","0","0"
"01/18/2021","no","39","1","0","0"
"01/19/2021","no","30","2","0","0"
"01/20/2021","no","32","1","1","0"
"01/21/2021","no","-","0","1","0.02"
"01/22/2021","no","-","0","0","0"
"01/23/2021","no","-","0","0","0"
"01/24/2021","no","-","0","0","0"
"01/25/2021","no","-","0","0","0"
"01/26/2021","no","26","9","9","0"
"01/27/2021","no","28","24","24","0.01"
"01/28/2021","no","26","15","7","0"
"01/29/2021","no","-","0","0","0"
"01/30/2021","no","-","0","0","0"
"01/31/2021","no","-","0","0","0"
"02/01/2021","no","25","16","16","0"
"02/02/2021","no","30","15","16","0"
"02/03/2021","no","27","1","0","0"
"02/04/2021","no","-","0","0","0"
"02/05/2021","no","34","11","9","0"
"02/06/2021","no","27","7","3","0"
"02/07/2021","no","25","13","11","0.07"
"02/08/2021","no","15","10","0","0"
"02/09/2021","no","23","14","12","0.02"
"02/10/2021","no","22","17","9","0"
"02/11/2021","no","17","2","3","0"
"02/12/2021","no","-","0","0","0"
"02/13/2021","no","-","0","0","0"
"02/14/2021","no","-","0","0","0"
"02/15/2021","no","28","16","10","0"
"02/16/2021","no","34","20","20","0.76"
"02/17/2021","no","-","0","0","0"
"02/18/2021","no","-","0","2","0"
"02/19/2021","no","25","24","23","0.03"
"02/20/2021","no","26","14","8","0"
"02/21/2021","no","-","0","0","0.03"
"02/22/2021","no","33","10","11","0.14"
"02/23/2021","no","32","10","11","0"
"02/24/2021","no","41","1","0","0"
"02/25/2021","no","-","0","0","0"
"02/26/2021","no","-","0","0","0"
"02/27/2021","no","36","20","19","0.21"
"02/28/2021","no","34","10","7","0.01"
"03/01/2021","no","36","15","15","0.32"
"03/02/2021","no","-","0","0","0"
"03/03/2021","no","-","0","0","0"
"03/04/2021","no","-","0","0","0"
"03/05/2021","no","-","0","0","0"
"03/06/2021","no","-","0","0","0"
"03/07/2021","no","-","0","0","0"
"03/08/2021","no","-","0","0","0"
"03/09/2021","no","-","0","0","0"
"03/10/2021","no","30","3","0","0"
"03/11/2021","no","42","10","10","0"
"03/12/2021","no","-","0","0","0"
"03/13/2021","no","-","0","0","0"
"03/14/2021","no","37","1","0","0"
"03/15/2021","no","-","0","0","0"
"03/16/2021","no","-","0","0","0"
"03/17/2021","no","35","1","0","0"
"03/18/2021","no","39","17","22","0.85"
"03/19/2021","no","35","1","0","0"
"03/20/2021","no","-","0","0","0"
"03/21/2021","no","-","0","0","0"
"03/22/2021","no","-","0","0","0"
"03/23/2021","no","38","10","4","0"
"03/24/2021","no","47","11","5","0.05"
"03/25/2021","no","51","11","14","0.13"
"03/26/2021","no","57","13","14","0.12"
"03/27/2021","no","-","0","0","0"
"03/28/2021","combined","47","14","19","1.01"
"03/29/2021","yes","41","5","1","0"
"03/30/2021","no","-","0","0","0"
"03/31/2021","no","53","6","9","0.03"
"04/01/2021","no","44","13","9","0.26"
"04/02/2021","no","-","0","0","0"
"04/03/2021","no","-","0","0","0"
"04/04/2021","no","-","0","0","0"
"04/05/2021","no","-","0","0","0"
"04/06/2021","no","-","0","0","0"
"04/07/2021","no","-","0","0","0"
"04/08/2021","no","-","0","0","0"
"04/09/2021","no","45","8","6","0"
"04/10/2021","no","47","1","0","0"
"04/11/2021","no","50","14","15","0.01"
"04/12/2021","no","46","7","4","0.07"
"04/13/2021","no","37","2","4","0"
"04/14/2021","no","48","2","0","0"
"04/15/2021","combined","42","15","16","1.01"
"04/16/2021","combined","34","24","24","0.79"
"04/17/2021","yes","38","8","7","0.08"
"04/18/2021","no","45","5","4","0"
"04/19/2021","no","45","4","0","0"
"04/20/2021","no","44","7","7","0"
"04/21/2021","no","44","8","4","0.33"
"04/22/2021","no","-","0","0","0"
"04/23/2021","no","-","0","0","0"
"04/24/2021","no","-","0","0","0"
"04/25/2021","no","49","9","4","0.09"
"04/26/2021","no","-","0","0","0"
"04/27/2021","no","-","0","0","0"
"04/28/2021","combined","52","13","8","0.16"
"04/29/2021","combined","54","22","22","1.31"
"04/30/2021","yes","48","9","7","0.03"
"05/01/2021","no","42","1","0","0"
"05/02/2021","combined","55","13","2","0.02"
"05/03/2021","combined","53","11","7","0.17"
"05/04/2021","combined","49","12","12","0.72"
"05/05/2021","combined","50","23","24","0.71"